comment-id,comment,total-votes,total-agrees,total-disagrees,total-passes,group-a-votes,group-a-agrees,group-a-disagrees,group-a-passes,group-b-votes,group-b-agrees,group-b-disagrees,group-b-passes
1,観光客が生活道路や通学路にまであふれて地元の人が自由に移動できなくなっているので、主要観光地では入場制限や予約制を導入すべきだと思う。,60,38,18,4,40,36,2,2,20,2,16,2
2,観光客が増えることで宿泊や飲食、交通など地域の収入が大幅に増えているので、多少の混雑は許容するべきだと思う。,60,25,24,11,40,16,16,8,20,9,8,3
3,ゴミ処理や清掃の負担が観光客の急増で増大し自治体の財政を圧迫しているので、宿泊税や観光税を引き上げ、その収益を保全に充てるべきだと考える。,60,15,26,19,40,2,24,14,20,13,2,5
4,観光業によって地方の雇用が支えられており、他に産業が少ない地域では生活の基盤になっているので、観光を縮小すべきではないと思う。,60,19,13,28,40,9,3,28,20,10,10,0
5,民泊が乱立して長期的に住む人向けの住宅が不足し、地元の家賃が上がってしまっているので、民泊規制を強化し住民の生活を優先するべきだと思う。,60,23,14,23,40,19,3,18,20,4,11,5
6,外国人観光客の増加で地域の文化や特産品が海外に発信されており、日本全体のブランド価値が上がるので、むしろ積極的に受け入れるべきだと思う。,60,23,3,34,40,6,3,31,20,17,0,3
8,観光需要に合わせてインフラ整備が進み、交通や公共施設が便利になった例もあるので、地域住民にとってもプラスになる部分が大きいと思う。,60,34,21,5,40,31,6,3,20,3,15,2
9,無断撮影やゴミの放置など観光客のマナーが地域で問題になっているので、多言語での案内板設置や教育的な啓発キャンペーンを徹底すべきだと感じる。,60,27,22,11,40,18,14,8,20,9,8,3
11,観光需要ばかりを優先すると住民の生活が後回しにされ不満が高まるので、地域計画ではまず住民の暮らしを守る施策を基本にすべきだと思う。,60,18,23,19,40,4,22,14,20,14,1,5
12,文化財や自然が観光収入で維持管理できている面もあり、むしろ観光があるから保護のための資金が確保できているのだと考える。,60,18,14,28,40,9,3,28,20,9,11,0
13,世界遺産や文化財が観光客の過剰利用で劣化して修繕コストが膨らんでいるので、立ち入り制限や保護エリアを設けて持続的に守るべきだと考える。,60,33,20,7,40,28,11,1,20,5,9,6
15,世界的に観光を成長産業と位置づけている国が多い中で、日本だけが抑制すると国際競争力を失うので、工夫しながら受け入れる方向で考えるべきだと思う。,60,22,12,26,40,8,11,21,20,14,1,5
