id,category,title,description,conversation_id,report_id,votes,comments,create_date
1,1,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,12,16,2025-09-12
2,2,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,18,16,2025-09-12
3,3,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,16,16,2025-09-12
4,4,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,27,16,2025-09-12
5,5,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,6,16,2025-09-12
6,6,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,7,16,2025-09-12
7,1,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,9,16,2025-09-12
8,2,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,15,16,2025-09-12
9,3,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,35,16,2025-09-12
10,4,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,101,16,2025-09-12
11,5,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,26,16,2025-09-12
12,6,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,54,16,2025-09-12
13,1,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,35,16,2025-09-12
14,2,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,8,16,2025-09-12
15,3,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,15,16,2025-09-12
16,4,オーバーツーリズム解消のため、外国人観光客の受け入れを制限するべきか？,日本中の観光地にて、外国人観光客が集中し景観の悪化や混雑、住民との摩擦などが問題になっています。この問題に対し、どう対応すべきか、観光客の受け入れを制限するべきかなど意見をお寄せください。,4ddjekjirp,r4nzx3echduxmdkevayrc,19,16,2025-09-12
